countries,alpha-2,alpha-3,region,sub-region,latitude,longitude,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,hbd_2010,hbd_2011,hbd_2012,hbd_2013,hbd_2014,hbd_2015,hbd_2016,hbd_2017,hbd_2018,hbd_2019,hbd_2020,hbd_2021,ate_2010,ate_2011,ate_2012,ate_2013,ate_2014,ate_2015,ate_2016,ate_2017,ate_2018,ate_2019,ate_2020,ate_2021
Hungary,HU,HUN,Europe,Eastern Europe,47.162494,19.503304,132231134158.608,141999960209.893,128857370476.631,135732595721.853,141078984816.675,125210324613.14,128636108315.474,143136245596.988,160586833778.457,163526491433.29,156743134665.959,182280517581.212,7.18,7.19,7.0,7.04,6.98,6.99,7.0,7.02,7.01,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Iceland,IS,ISL,Europe,Northern Europe,64.963051,-19.020835,13751161917.7398,15221622925.9319,14751508133.5443,16125060515.3117,17867662177.8911,17517210519.0912,20793168030.9524,24728285177.4603,26267063757.5495,24857740445.0401,21718075725.2054,25458933915.8742,3.58,3.29,3.25,3.22,3.16,3.12,3.13,3.06,2.87,2.83,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Indonesia,ID,IDN,Asia,South-eastern Asia,-0.789275,113.921327,755094160363.071,892969107923.094,917869910105.749,912524136718.018,890814755233.225,860854235065.079,931877364177.742,1015618742565.81,1042271531011.99,1119099868265.25,1058688935454.78,1186092991320.04,0.57,0.62,0.83,0.99,0.94,0.98,0.99,1.04,0.0,0.0,0.0,0.0,94.1500015258789,94.8300018310547,96.0,96.4642562866211,97.0100021362305,97.5373687744141,97.620002746582,98.1399993896484,98.5100021362305,98.8499984741211,96.9499969482422,0.0
Ireland,IE,IRL,Europe,Northern Europe,53.41291,-8.24389,221876011283.5,238975558966.528,225496810956.67,238279269750.987,258969649063.72,291580037584.33,298928152644.686,335430829594.026,385041711506.234,399122063504.148,425888950992.003,498559576714.721,2.73,2.62,2.54,2.56,2.57,2.92,2.96,2.97,2.97,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Isle of Man,IM,IMN,Europe,Northern Europe,54.236107,-4.548056,5920177688.50433,6566098381.6696,6690725118.48341,7000748788.49461,7708834951.45631,7085288006.11154,6846691871.45558,6979581724.58172,7491969312.87525,7315388052.08067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Italy,IT,ITA,Europe,Southern Europe,41.87194,12.56738,2136099955236.67,2294994296589.5,2086957656821.6,2141924094298.56,2162009615996.54,1836637711060.55,1877071687633.78,1961796197354.36,2091932426266.98,2011285742552.15,1892574064222.11,2099880198258.88,3.64,3.52,3.42,3.31,3.21,3.2,3.17,3.18,3.14,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Japan,JP,JPN,Asia,Eastern Asia,36.204824,138.252924,5759071769013.11,6233147172341.35,6272362996105.03,5212328181166.18,4896994405353.29,4444930651964.18,5003677627544.24,4930837369151.42,5037835383110.97,5123318151510.62,5040107754084.11,4937421880461.55,13.51,13.4,13.35,13.3,13.21,13.17,13.11,13.05,12.98,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Kazakhstan,KZ,KAZ,Asia,Central Asia,48.019573,66.923684,148047348240.643,192626507971.584,207998568865.789,236634552078.102,221415572819.5,184388432148.715,137278320084.171,166805800595.704,179339994859.384,181667190075.541,171082379532.988,190814274226.211,7.29,7.11,7.01,6.72,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.7974700927734,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Kiribati,KI,KIR,Oceania,Micronesia,-3.370417,-168.734039,155299728.488133,180665807.21513,189630114.855587,184550740.142316,177862310.350122,170291001.98321,178509814.059419,188192060.085837,196230573.819486,177935349.322211,180911843.644622,0.0,1.4,1.3,0.0,0.0,0.0,1.9,1.86,0.0,0.0,0.0,0.0,0.0,63.1677360534668,74.8437347412109,76.6912612915039,78.9310607910156,83.4539489746094,90.5581817626953,92.7996139526367,86.1764450073242,88.1031646728516,90.0328521728516,91.9630279541016,0.0
"Korea, Dem. People's Rep.",KP,PRK,Asia,Eastern Asia,40.339852,127.510093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2511825561523,31.4920024871826,33.7508888244629,36.0296058654785,38.3261299133301,40.6374969482422,42.9607353210449,45.2928771972656,47.6309547424316,49.9720001220703,52.3135452270508,0.0
"Korea, Rep.",KR,KOR,Asia,Eastern Asia,35.907757,127.766922,1144066965324.49,1253223044718.99,1278427634342.59,1370795199976.18,1484318219633.63,1465773245547.15,1500111596236.37,1623901496835.79,1724845615629.26,1651422932447.77,1637895802792.9,1798533915091.14,8.74,9.53,10.25,10.92,11.59,11.61,11.98,12.27,12.43,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Kosovo,XK,XKX,Europe,Southern Europe,42.5833,21.0001,5344014317.91065,6341737193.76392,6163785172.81254,6735731172.79851,7074657898.23303,6295820481.52668,6682832632.27806,7180813375.50836,7878508502.59802,7899879086.43081,7716925356.12536,9007159195.74216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,99.75,99.75,99.6800003051758,99.8600006103516,99.8000030517578,99.8000030517578,0.0,100.0,0.0,0.0
Kyrgyz Republic,KG,KGZ,Asia,Central Asia,41.20438,74.766098,4794357795.07139,6197766118.59856,6605139933.41063,7335027591.91628,7468096566.71158,6678178340.45121,6813092065.83507,7702934800.12836,8271108638.39931,8871026074.19762,7780874536.66054,8543423502.6134,4.76,4.7,4.64,4.51,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,98.3199996948242,99.8000030517578,98.9300003051758,99.8000030517578,98.6900024414063,99.7099990844727,100.0,100.0,99.8742370605469,99.9810485839844,0.0
Lao PDR,LA,LAO,Asia,South-eastern Asia,19.85627,102.495496,7131773632.71369,8750107401.57872,10192848926.2582,11983252611.2727,13279248478.8161,14426381187.0894,15912495368.8717,17071162084.4067,18141651381.3884,18740559554.1632,18981800705.0794,18827148530.0151,0.7,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.1499404907227,70.0,76.3666305541992,79.5762557983398,83.1340408325195,89.6999969482422,90.5495300292969,93.5999984741211,97.7971572875977,99.0920867919922,100.0,0.0
Latvia,LV,LVA,Europe,Northern Europe,56.879635,24.603189,23956163076.5575,27474380566.265,28169902669.3784,30204783461.8488,31386896487.0407,27263090547.0617,28083597512.4841,30483806017.8318,34429023435.0211,34308783825.3019,33645460617.239,38872546228.5653,5.68,5.88,5.89,5.8,5.66,5.69,5.72,5.57,5.49,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Liechtenstein,LI,LIE,Europe,Western Europe,47.166,9.555373,5082366478.08994,5739977477.47748,5456009384.66461,6391735893.83968,6657170923.37918,6268391521.19701,6237264055.20601,6474256118.61481,6692504346.04765,6427248943.44939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Lithuania,LT,LTU,Europe,Northern Europe,55.169438,23.881275,37128694028.243,43535051482.3869,42927454291.478,46523420074.4372,48533659592.1728,41435533340.3883,43047309305.7363,47758736931.7801,53750911865.687,54697379017.3332,56546957475.4912,65503849704.5997,7.16,7.43,7.45,7.31,7.26,6.97,6.69,6.56,6.43,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Luxembourg,LU,LUX,Europe,Western Europe,49.815273,6.129583,56213985987.4168,61696281326.2453,59776383527.3602,65203276466.9763,68804811897.6445,60071584216.1375,62216885435.9488,65712180342.9836,71285019397.4133,70195715495.5136,73353132793.7076,86710803337.0994,5.37,5.28,5.15,5.17,5.05,4.93,4.81,4.66,4.51,4.26,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
"Macao SAR, China",MO,MAC,Asia,Eastern Asia,22.198745,113.543873,28241858488.9155,36845925519.4433,43189526777.5567,51536304807.6803,54903031137.7096,45047964934.2517,45070605746.0194,50440941938.6992,55284360483.1217,55204758069.5124,25586111076.3415,29905190181.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Malaysia,MY,MYS,Asia,South-eastern Asia,4.210484,101.975766,255016609232.871,297951960784.314,314443149443.149,323277158906.979,338061963396.376,301354803994.367,301255380276.258,319112136545.438,358791513221.482,365276379480.99,337006023789.699,372701358820.264,1.8,1.79,1.9,0.0,0.0,1.86,1.62,1.88,0.0,0.0,0.0,0.0,99.3740539550781,99.4654693603516,99.8000030517578,99.6044464111328,99.6509399414063,99.7788162231445,99.9000015258789,99.9524841308594,99.9922409057617,100.0,100.0,0.0
